data;

param num_jobs := 700;

param num_mach := 20;

param T := 
1 1 36
2 1 60
3 1 26
4 1 83
5 1 42
6 1 59
7 1 15
8 1 88
9 1 85
10 1 25
11 1 86
12 1 78
13 1 2
14 1 36
15 1 63
16 1 50
17 1 18
18 1 2
19 1 47
20 1 76
1 2 22
2 2 85
3 2 84
4 2 4
5 2 65
6 2 4
7 2 5
8 2 13
9 2 49
10 2 16
11 2 22
12 2 8
13 2 58
14 2 42
15 2 49
16 2 27
17 2 18
18 2 59
19 2 49
20 2 12
1 3 24
2 3 80
3 3 45
4 3 67
5 3 56
6 3 6
7 3 43
8 3 6
9 3 57
10 3 99
11 3 48
12 3 48
13 3 76
14 3 45
15 3 84
16 3 33
17 3 73
18 3 65
19 3 39
20 3 60
1 4 46
2 4 16
3 4 91
4 4 56
5 4 42
6 4 2
7 4 5
8 4 48
9 4 35
10 4 54
11 4 85
12 4 82
13 4 5
14 4 75
15 4 40
16 4 29
17 4 46
18 4 52
19 4 84
20 4 41
1 5 75
2 5 77
3 5 84
4 5 79
5 5 35
6 5 31
7 5 34
8 5 18
9 5 12
10 5 24
11 5 93
12 5 74
13 5 97
14 5 3
15 5 62
16 5 51
17 5 82
18 5 50
19 5 33
20 5 79
1 6 48
2 6 55
3 6 70
4 6 78
5 6 4
6 6 20
7 6 10
8 6 5
9 6 77
10 6 33
11 6 55
12 6 37
13 6 64
14 6 34
15 6 38
16 6 13
17 6 88
18 6 30
19 6 59
20 6 31
1 7 28
2 7 54
3 7 27
4 7 79
5 7 18
6 7 82
7 7 55
8 7 45
9 7 19
10 7 24
11 7 6
12 7 18
13 7 34
14 7 76
15 7 60
16 7 15
17 7 88
18 7 2
19 7 80
20 7 52
1 8 23
2 8 54
3 8 82
4 8 64
5 8 60
6 8 94
7 8 22
8 8 51
9 8 46
10 8 31
11 8 95
12 8 83
13 8 63
14 8 7
15 8 77
16 8 16
17 8 89
18 8 14
19 8 52
20 8 74
1 9 37
2 9 87
3 9 27
4 9 27
5 9 87
6 9 34
7 9 20
8 9 49
9 9 26
10 9 84
11 9 58
12 9 44
13 9 26
14 9 76
15 9 50
16 9 82
17 9 49
18 9 10
19 9 81
20 9 64
1 10 39
2 10 26
3 10 85
4 10 26
5 10 57
6 10 9
7 10 70
8 10 37
9 10 69
10 10 8
11 10 91
12 10 70
13 10 67
14 10 29
15 10 36
16 10 31
17 10 24
18 10 43
19 10 18
20 10 74
1 11 75
2 11 9
3 11 33
4 11 64
5 11 4
6 11 11
7 11 99
8 11 39
9 11 56
10 11 60
11 11 96
12 11 84
13 11 19
14 11 8
15 11 79
16 11 46
17 11 43
18 11 63
19 11 10
20 11 10
1 12 80
2 12 25
3 12 68
4 12 49
5 12 85
6 12 66
7 12 2
8 12 20
9 12 79
10 12 24
11 12 37
12 12 25
13 12 93
14 12 91
15 12 76
16 12 13
17 12 39
18 12 18
19 12 32
20 12 70
1 13 56
2 13 48
3 13 79
4 13 9
5 13 56
6 13 69
7 13 34
8 13 72
9 13 48
10 13 50
11 13 86
12 13 16
13 13 20
14 13 79
15 13 37
16 13 19
17 13 14
18 13 42
19 13 27
20 13 47
1 14 12
2 14 94
3 14 61
4 14 72
5 14 32
6 14 26
7 14 44
8 14 4
9 14 87
10 14 14
11 14 5
12 14 4
13 14 68
14 14 7
15 14 74
16 14 97
17 14 42
18 14 8
19 14 18
20 14 73
1 15 96
2 15 28
3 15 70
4 15 50
5 15 51
6 15 36
7 15 9
8 15 73
9 15 16
10 15 26
11 15 50
12 15 32
13 15 96
14 15 77
15 15 86
16 15 31
17 15 37
18 15 83
19 15 73
20 15 63
1 16 76
2 16 63
3 16 34
4 16 55
5 16 55
6 16 93
7 16 57
8 16 76
9 16 90
10 16 20
11 16 3
12 16 54
13 16 9
14 16 29
15 16 17
16 16 24
17 16 11
18 16 11
19 16 53
20 16 99
1 17 7
2 17 15
3 17 38
4 17 54
5 17 31
6 17 95
7 17 17
8 17 49
9 17 50
10 17 9
11 17 86
12 17 35
13 17 99
14 17 83
15 17 91
16 17 27
17 17 28
18 17 93
19 17 41
20 17 33
1 18 32
2 18 4
3 18 70
4 18 60
5 18 97
6 18 64
7 18 62
8 18 60
9 18 5
10 18 71
11 18 97
12 18 69
13 18 41
14 18 31
15 18 93
16 18 62
17 18 33
18 18 73
19 18 60
20 18 18
1 19 8
2 19 27
3 19 86
4 19 72
5 19 24
6 19 43
7 19 10
8 19 14
9 19 41
10 19 17
11 19 67
12 19 22
13 19 19
14 19 60
15 19 11
16 19 76
17 19 73
18 19 18
19 19 28
20 19 95
1 20 10
2 20 39
3 20 27
4 20 47
5 20 22
6 20 24
7 20 50
8 20 64
9 20 40
10 20 37
11 20 37
12 20 66
13 20 44
14 20 37
15 20 59
16 20 48
17 20 86
18 20 63
19 20 77
20 20 98
1 21 92
2 21 2
3 21 13
4 21 58
5 21 26
6 21 90
7 21 21
8 21 27
9 21 42
10 21 55
11 21 17
12 21 84
13 21 72
14 21 82
15 21 85
16 21 85
17 21 97
18 21 70
19 21 76
20 21 35
1 22 10
2 22 15
3 22 72
4 22 61
5 22 85
6 22 15
7 22 74
8 22 43
9 22 94
10 22 15
11 22 41
12 22 53
13 22 30
14 22 13
15 22 84
16 22 26
17 22 45
18 22 99
19 22 6
20 22 73
1 23 4
2 23 15
3 23 13
4 23 90
5 23 10
6 23 25
7 23 71
8 23 23
9 23 60
10 23 71
11 23 71
12 23 12
13 23 22
14 23 35
15 23 1
16 23 12
17 23 56
18 23 13
19 23 84
20 23 58
1 24 24
2 24 21
3 24 6
4 24 36
5 24 44
6 24 40
7 24 26
8 24 67
9 24 89
10 24 92
11 24 78
12 24 18
13 24 53
14 24 14
15 24 85
16 24 93
17 24 10
18 24 42
19 24 46
20 24 92
1 25 48
2 25 57
3 25 68
4 25 98
5 25 73
6 25 29
7 25 63
8 25 63
9 25 73
10 25 62
11 25 24
12 25 3
13 25 23
14 25 57
15 25 34
16 25 98
17 25 69
18 25 2
19 25 11
20 25 93
1 26 93
2 26 74
3 26 59
4 26 99
5 26 82
6 26 43
7 26 86
8 26 89
9 26 28
10 26 58
11 26 24
12 26 12
13 26 46
14 26 83
15 26 33
16 26 61
17 26 83
18 26 29
19 26 10
20 26 1
1 27 51
2 27 68
3 27 10
4 27 5
5 27 10
6 27 51
7 27 45
8 27 80
9 27 87
10 27 40
11 27 46
12 27 77
13 27 11
14 27 54
15 27 76
16 27 1
17 27 76
18 27 74
19 27 49
20 27 85
1 28 94
2 28 51
3 28 78
4 28 89
5 28 82
6 28 31
7 28 63
8 28 29
9 28 93
10 28 69
11 28 97
12 28 48
13 28 98
14 28 14
15 28 44
16 28 3
17 28 71
18 28 79
19 28 19
20 28 7
1 29 26
2 29 28
3 29 71
4 29 55
5 29 17
6 29 42
7 29 66
8 29 39
9 29 19
10 29 52
11 29 91
12 29 3
13 29 8
14 29 50
15 29 44
16 29 23
17 29 31
18 29 11
19 29 92
20 29 96
1 30 60
2 30 84
3 30 92
4 30 69
5 30 21
6 30 57
7 30 10
8 30 52
9 30 67
10 30 71
11 30 89
12 30 96
13 30 55
14 30 61
15 30 60
16 30 31
17 30 6
18 30 48
19 30 74
20 30 72
1 31 86
2 31 98
3 31 12
4 31 79
5 31 34
6 31 35
7 31 9
8 31 98
9 31 12
10 31 56
11 31 83
12 31 23
13 31 65
14 31 14
15 31 66
16 31 66
17 31 17
18 31 35
19 31 72
20 31 21
1 32 26
2 32 10
3 32 51
4 32 55
5 32 93
6 32 63
7 32 18
8 32 67
9 32 93
10 32 86
11 32 50
12 32 97
13 32 50
14 32 14
15 32 93
16 32 63
17 32 15
18 32 38
19 32 21
20 32 92
1 33 89
2 33 30
3 33 33
4 33 31
5 33 9
